timestamp,event_date,region,lag_days,ftrt
2026-07-15T12:35:50.816446+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816454+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816464+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816471+00:00,2026-07-05,14480,-7,7.24633
2026-07-15T12:35:50.816480+00:00,2026-07-05,14480,-3,0
2026-07-15T12:35:50.816488+00:00,2026-07-05,14480,-1,0
2026-07-15T12:35:50.816496+00:00,2026-07-05,14480,0,0
2026-07-15T12:35:50.816504+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816513+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816522+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816531+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816540+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816550+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816557+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816565+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816574+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816583+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816591+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816599+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816607+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816616+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816624+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816632+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816640+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816649+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816657+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816666+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816675+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816684+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816692+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816700+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816708+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816719+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816726+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816735+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816743+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816752+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816760+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816767+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816775+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816784+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816793+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816802+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816811+00:00,2026-07-05,14479,-7,7.24633
2026-07-15T12:35:50.816822+00:00,2026-07-05,14479,-3,0
2026-07-15T12:35:50.816829+00:00,2026-07-05,14479,-1,0
2026-07-15T12:35:50.816839+00:00,2026-07-05,14479,0,0
2026-07-15T12:35:50.816847+00:00,2026-07-06,14479,-7,7.494735
2026-07-15T12:35:50.816856+00:00,2026-07-06,14479,-3,0
2026-07-15T12:35:50.816864+00:00,2026-07-06,14479,-1,0
2026-07-15T12:35:50.816872+00:00,2026-07-06,14479,0,0
2026-07-15T12:35:50.816881+00:00,2026-07-07,14482,-7,7.742445
2026-07-15T12:35:50.816890+00:00,2026-07-07,14482,-3,0
2026-07-15T12:35:50.816899+00:00,2026-07-07,14482,-1,0
2026-07-15T12:35:50.816908+00:00,2026-07-07,14482,0,0
2026-07-15T12:35:50.816915+00:00,2026-07-08,14482,-7,0
2026-07-15T12:35:50.816924+00:00,2026-07-08,14482,-3,0
2026-07-15T12:35:50.816936+00:00,2026-07-08,14482,-1,0
2026-07-15T12:35:50.816944+00:00,2026-07-08,14482,0,0
2026-07-15T12:35:50.816952+00:00,2026-07-09,14482,-7,0
2026-07-15T12:35:50.816960+00:00,2026-07-09,14482,-3,0
2026-07-15T12:35:50.816968+00:00,2026-07-09,14482,-1,0
2026-07-15T12:35:50.816977+00:00,2026-07-09,14482,0,0
2026-07-15T12:35:50.816986+00:00,2026-07-09,14485,-7,0
2026-07-15T12:35:50.816995+00:00,2026-07-09,14485,-3,0
2026-07-15T12:35:50.817002+00:00,2026-07-09,14485,-1,0
2026-07-15T12:35:50.817011+00:00,2026-07-09,14485,0,0
2026-07-15T12:35:50.817019+00:00,2026-07-10,14485,-7,0
2026-07-15T12:35:50.817028+00:00,2026-07-10,14485,-3,0
2026-07-15T12:35:50.817035+00:00,2026-07-10,14485,-1,0
2026-07-15T12:35:50.817045+00:00,2026-07-10,14485,0,0
2026-07-15T12:35:50.817053+00:00,2026-07-12,14485,-7,0
2026-07-15T12:35:50.817061+00:00,2026-07-12,14485,-3,0
2026-07-15T12:35:50.817069+00:00,2026-07-12,14485,-1,0
2026-07-15T12:35:50.817077+00:00,2026-07-12,14485,0,0
2026-07-15T12:35:50.817085+00:00,2026-07-12,14485,-7,0
2026-07-15T12:35:50.817093+00:00,2026-07-12,14485,-3,0
2026-07-15T12:35:50.817101+00:00,2026-07-12,14485,-1,0
2026-07-15T12:35:50.817122+00:00,2026-07-12,14485,0,0
2026-07-15T12:35:50.817131+00:00,2026-07-14,,-7,0
2026-07-15T12:35:50.817139+00:00,2026-07-14,,-3,0
2026-07-15T12:35:50.817148+00:00,2026-07-14,,-1,0
2026-07-15T12:35:50.817157+00:00,2026-07-14,,0,0
