variable,lag,pearson
energia_resonancia,2,-0.22724492450270967
energia_resonancia,3,-0.2269512606424975
energia_resonancia,4,-0.22673809442442702
energia_resonancia,5,-0.22658165574768513
energia_resonancia,6,-0.22648199237044794
energia_resonancia,7,-0.2263691307225629
energia_resonancia,8,-0.2261633595901812
energia_resonancia,9,-0.2257474889518997
energia_resonancia,10,-0.2251429325136474
energia_resonancia,11,-0.22427024182787883
energia_resonancia,12,-0.22308071761048956
energia_resonancia,13,-0.2215691595797743
energia_resonancia,14,-0.21976095722853656
energia_resonancia,15,-0.21771305876461758
energia_resonancia,16,-0.2155126456627808
energia_resonancia,17,-0.21327393152236646
energia_resonancia,18,-0.21113328696122663
energia_resonancia,19,-0.209242504831971
energia_resonancia,20,-0.20775987662973783
energia_resonancia,21,-0.20683915154720317
energia_resonancia,22,-0.20661728489373685
energia_resonancia,23,-0.20720264442895042
energia_resonancia,24,-0.20863214173731207
energia_resonancia,25,-0.2109467958012208
energia_resonancia,26,-0.2141132949780583
energia_resonancia,27,-0.2181108582617421
energia_resonancia,28,-0.22282125638448141
energia_resonancia,29,-0.2280934533586997
energia_resonancia,30,-0.23375647083334677
energia_resonancia,31,-0.2396214975084824
energia_resonancia,32,-0.2455192097694846
energia_resonancia,33,-0.25126186965870695
energia_resonancia,34,-0.2566489967711098
energia_resonancia,35,-0.2615326617010323
energia_resonancia,36,-0.2658002875149008
energia_resonancia,37,-0.2693795553644844
energia_resonancia,38,-0.2722383941675449
energia_resonancia,39,-0.27437981485821117
energia_resonancia,40,-0.27583277703678166
energia_resonancia,41,-0.2766415022630399
energia_resonancia,42,-0.2768560870952477
energia_resonancia,43,-0.27652669720927153
energia_resonancia,44,-0.27570228222437093
energia_resonancia,45,-0.2744331801916536
energia_resonancia,46,-0.27277574437474084
energia_resonancia,47,-0.27079659395346745
energia_resonancia,48,-0.2685743615515189
energia_resonancia,49,-0.2661977274957712
energia_resonancia,50,-0.26375975891434966
energia_resonancia,51,-0.2613497060621156
energia_resonancia,52,-0.25904409605771483
energia_resonancia,53,-0.256899016562371
energia_resonancia,54,-0.2549449423082706
energia_resonancia,55,-0.25318459668987014
energia_resonancia,56,-0.25159354600670775
energia_resonancia,57,-0.25012280303540496
energia_resonancia,58,-0.24870273863419712
energia_resonancia,59,-0.2472479018558211
energia_resonancia,60,-0.2456626860004077
energia_resonancia,61,-0.24384796768564723
energia_resonancia,62,-0.2417088030307013
energia_resonancia,63,-0.23916297574708667
energia_resonancia,64,-0.2361497191696658
energia_resonancia,65,-0.23263745249117218
energia_resonancia,66,-0.22862914465899742
energia_resonancia,67,-0.22415493083662685
energia_resonancia,68,-0.21923616729775736
energia_resonancia,69,-0.21405549504863974
energia_resonancia,70,-0.20876348891755797
energia_resonancia,71,-0.20344822602229146
energia_resonancia,72,-0.1982471401160413
energia_resonancia,73,-0.1932917994597066
energia_resonancia,74,-0.18870028986952225
energia_resonancia,75,-0.18457050015061666
energia_resonancia,76,-0.1809744424142507
energia_resonancia,77,-0.1779539877373586
energia_resonancia,78,-0.1755061189491658
energia_resonancia,79,-0.17363317313304175
energia_resonancia,80,-0.1722735580800268
energia_resonancia,81,-0.1713577524920678
energia_resonancia,82,-0.1708065590995842
energia_resonancia,83,-0.17054236273738363
energia_resonancia,84,-0.17049942874840676
energia_resonancia,85,-0.17063137195605652
energia_resonancia,86,-0.17091447831955453
energia_resonancia,87,-0.1713464151029008
energia_resonancia,88,-0.1719408318334415
energia_resonancia,89,-0.17271915517847602
energia_resonancia,90,-0.17368847093470366
coherencia_espectral,-90,-0.1627635791471852
coherencia_espectral,-89,-0.16237314458816565
coherencia_espectral,-88,-0.1625831511301847
coherencia_espectral,-87,-0.16333662927182077
coherencia_espectral,-86,-0.16453285850632232
coherencia_espectral,-85,-0.16631727127853713
